proto,duration,packets,bytes,pps,bps,avg_pkt
6,4.698,16,864,3.406,183.919,54.0
6,4.699,13,702,2.767,149.399,54.0
6,4.338,10,540,2.305,124.47,54.0
6,5.017,10,540,1.993,107.643,54.0
6,4.507,14,756,3.106,167.735,54.0
6,4.608,7,378,1.519,82.03,54.0
6,4.519,11,594,2.434,131.443,54.0
6,4.61,12,648,2.603,140.558,54.0
6,4.591,8,432,1.743,94.105,54.0
6,4.939,14,756,2.834,153.056,54.0
6,5.438,12,648,2.207,119.158,54.0
6,4.474,7,378,1.565,84.484,54.0
6,4.699,16,864,3.405,183.887,54.0
6,4.551,9,486,1.978,106.787,54.0
6,4.163,12,648,2.882,155.646,54.0
6,4.219,13,702,3.082,166.404,54.0
6,4.326,10,540,2.312,124.83,54.0
6,4.758,9,486,1.892,102.151,54.0
6,4.828,13,702,2.693,145.401,54.0
6,5.969,14,756,2.346,126.661,54.0
6,4.557,10,540,2.194,118.498,54.0
6,5.58,9,486,1.613,87.091,54.0
6,4.043,8,432,1.978,106.839,54.0
6,4.471,4,216,0.895,48.307,54.0
6,4.061,6,324,1.478,79.791,54.0
6,4.465,12,648,2.688,145.127,54.0
6,4.386,12,648,2.736,147.737,54.0
6,5.02,10,540,1.992,107.576,54.0
6,4.944,17,918,3.439,185.68,54.0
6,4.219,11,594,2.607,140.803,54.0
6,4.869,12,648,2.465,133.083,54.0
6,4.114,11,594,2.674,144.374,54.0
6,4.412,9,486,2.04,110.158,54.0
6,4.474,9,486,2.011,108.619,54.0
6,4.591,7,378,1.525,82.338,54.0
6,4.784,11,594,2.299,124.167,54.0
6,4.198,12,648,2.859,154.366,54.0
6,4.591,10,540,2.178,117.631,54.0
6,4.088,13,702,3.18,171.729,54.0
6,4.518,11,594,2.435,131.466,54.0
6,4.099,9,486,2.196,118.57,54.0
6,4.478,13,702,2.903,156.782,54.0
6,4.566,9,486,1.971,106.448,54.0
6,4.358,13,702,2.983,161.096,54.0
6,4.284,7,378,1.634,88.227,54.0
6,4.908,14,756,2.853,154.041,54.0
6,5.328,9,486,1.689,91.222,54.0
6,4.388,11,594,2.507,135.356,54.0
6,4.656,16,864,3.437,185.587,54.0
6,4.683,13,702,2.776,149.909,54.0
6,4.325,11,594,2.543,137.333,54.0
6,4.331,12,648,2.771,149.624,54.0
6,4.999,4,216,0.8,43.208,54.0
6,4.192,13,702,3.101,167.446,54.0
6,4.77,11,594,2.306,124.523,54.0
6,4.141,11,594,2.656,143.443,54.0
6,4.411,10,540,2.267,122.408,54.0
6,4.494,16,864,3.561,192.273,54.0
6,4.099,10,540,2.44,131.743,54.0
6,5.139,12,648,2.335,126.093,54.0
6,4.894,6,324,1.226,66.201,54.0
6,4.478,11,594,2.457,132.662,54.0
6,4.432,14,756,3.159,170.569,54.0
6,4.426,12,648,2.711,146.403,54.0
6,4.342,11,594,2.533,136.795,54.0
6,5.498,8,432,1.455,78.574,54.0
6,4.088,12,648,2.935,158.514,54.0
6,4.57,13,702,2.845,153.614,54.0
6,5.017,9,486,1.794,96.877,54.0
6,4.773,11,594,2.305,124.461,54.0
6,5.308,12,648,2.261,122.069,54.0
6,4.865,11,594,2.261,122.108,54.0
6,4.528,11,594,2.429,131.191,54.0
6,4.945,13,702,2.629,141.951,54.0
6,4.826,8,432,1.658,89.507,54.0
6,4.277,6,324,1.403,75.748,54.0
6,4.088,13,702,3.18,171.73,54.0
6,5.697,13,702,2.282,123.223,54.0
6,4.406,12,648,2.723,147.059,54.0
6,4.355,12,648,2.755,148.793,54.0
6,4.958,8,432,1.614,87.138,54.0
6,4.93,11,594,2.231,120.482,54.0
6,4.609,14,756,3.038,164.027,54.0
6,4.272,13,702,3.043,164.319,54.0
6,4.734,12,648,2.535,136.877,54.0
6,4.467,9,486,2.015,108.792,54.0
6,4.215,11,594,2.61,140.934,54.0
6,4.904,6,324,1.223,66.062,54.0
6,4.365,9,486,2.062,111.346,54.0
6,4.836,9,486,1.861,100.494,54.0
6,4.578,7,378,1.529,82.565,54.0
6,4.699,16,864,3.405,183.873,54.0
6,4.516,10,540,2.214,119.563,54.0
6,4.219,7,378,1.659,89.601,54.0
6,4.088,12,648,2.936,158.528,54.0
6,5.249,5,270,0.953,51.435,54.0
6,5.567,8,432,1.437,77.606,54.0
6,5.588,16,864,2.863,154.616,54.0
6,5.516,7,378,1.269,68.529,54.0
6,4.342,11,594,2.533,136.798,54.0
6,5.948,12,648,2.017,108.938,54.0
6,4.821,13,702,2.697,145.626,54.0
6,4.143,12,648,2.896,156.403,54.0
6,4.137,3,162,0.725,39.163,54.0
6,4.708,12,648,2.549,137.631,54.0
6,4.292,10,540,2.33,125.823,54.0
6,4.77,10,540,2.096,113.2,54.0
6,4.714,6,324,1.273,68.725,54.0
6,4.041,10,540,2.475,133.638,54.0
6,4.093,10,540,2.443,131.947,54.0
6,4.439,10,540,2.253,121.662,54.0
6,4.399,13,702,2.955,159.58,54.0
6,4.412,12,648,2.72,146.877,54.0
6,4.516,10,540,2.214,119.562,54.0
6,4.364,13,702,2.979,160.851,54.0
6,4.135,10,540,2.418,130.596,54.0
6,4.66,13,702,2.79,150.649,54.0
6,4.634,13,702,2.805,151.482,54.0
6,4.262,5,270,1.173,63.353,54.0
6,4.696,14,756,2.981,160.981,54.0
6,4.996,10,540,2.002,108.087,54.0
6,5.096,12,648,2.355,127.168,54.0
6,4.935,14,756,2.837,153.201,54.0
6,5.087,7,378,1.376,74.314,54.0
6,4.173,10,540,2.396,129.399,54.0
6,4.938,10,540,2.025,109.346,54.0
6,4.66,15,810,3.219,173.819,54.0
6,4.307,9,486,2.09,112.85,54.0
6,5.51,8,432,1.452,78.409,54.0
6,4.923,11,594,2.235,120.668,54.0
6,4.661,11,594,2.36,127.442,54.0
6,4.698,18,972,3.831,206.882,54.0
6,4.939,13,702,2.632,142.148,54.0
6,4.471,13,702,2.908,157.013,54.0
6,4.728,10,540,2.115,114.202,54.0
6,4.322,12,648,2.776,149.92,54.0
6,4.467,8,432,1.791,96.718,54.0
6,5.296,5,270,0.944,50.985,54.0
6,4.859,11,594,2.264,122.239,54.0
6,4.857,13,702,2.677,144.538,54.0
6,4.472,12,648,2.684,144.912,54.0
6,4.811,11,594,2.286,123.462,54.0
6,4.878,11,594,2.255,121.772,54.0
6,4.323,10,540,2.313,124.915,54.0
6,4.132,10,540,2.42,130.676,54.0
6,4.863,9,486,1.851,99.937,54.0
6,4.076,7,378,1.718,92.748,54.0
6,4.147,10,540,2.412,130.225,54.0
6,4.744,12,648,2.53,136.602,54.0
6,4.844,10,540,2.064,111.483,54.0
6,4.908,10,540,2.038,110.035,54.0
6,4.26,12,648,2.817,152.097,54.0
6,4.797,13,702,2.71,146.354,54.0
6,5.458,12,648,2.199,118.721,54.0
6,4.822,13,702,2.696,145.592,54.0
6,4.164,9,486,2.162,116.725,54.0
6,4.942,14,756,2.833,152.96,54.0
6,4.994,12,648,2.403,129.746,54.0
6,4.471,15,810,3.355,181.169,54.0
6,4.308,14,756,3.249,175.473,54.0
6,4.626,10,540,2.162,116.728,54.0
6,4.412,11,594,2.493,134.641,54.0
6,4.487,10,540,2.229,120.343,54.0
6,4.338,9,486,2.075,112.023,54.0
6,4.471,9,486,2.013,108.71,54.0
6,4.699,17,918,3.618,195.362,54.0
6,4.478,12,648,2.68,144.714,54.0
6,4.471,12,648,2.684,144.92,54.0
6,4.591,13,702,2.832,152.913,54.0
6,5.192,13,702,2.504,135.208,54.0
6,4.58,14,756,3.057,165.072,54.0
6,4.79,11,594,2.297,124.017,54.0
6,4.329,10,540,2.31,124.747,54.0
6,4.081,11,594,2.695,145.544,54.0
6,4.365,7,378,1.604,86.605,54.0
6,5.115,5,270,0.977,52.781,54.0
6,4.277,13,702,3.04,164.139,54.0
6,5.398,6,324,1.111,60.019,54.0
6,4.131,8,432,1.936,104.569,54.0
6,4.412,12,648,2.72,146.866,54.0
6,4.145,9,486,2.171,117.253,54.0
6,4.23,9,486,2.128,114.904,54.0
6,4.315,7,378,1.622,87.598,54.0
6,4.778,13,702,2.721,146.913,54.0
6,4.516,12,648,2.657,143.487,54.0
6,4.327,5,270,1.156,62.398,54.0
6,4.697,14,756,2.981,160.965,54.0
6,4.358,14,756,3.213,173.488,54.0
6,4.119,12,648,2.913,157.324,54.0
6,4.797,15,810,3.127,168.871,54.0
6,4.823,11,594,2.281,123.164,54.0
6,4.204,3,162,0.714,38.535,54.0
6,4.923,14,756,2.844,153.579,54.0
6,5.266,14,756,2.659,143.565,54.0
6,4.359,9,486,2.065,111.491,54.0
6,4.66,11,594,2.361,127.473,54.0
6,4.781,11,594,2.301,124.233,54.0
6,4.342,13,702,2.994,161.678,54.0
6,4.551,9,486,1.978,106.786,54.0
6,4.82,13,702,2.697,145.643,54.0
6,4.934,11,594,2.23,120.393,54.0
6,4.151,10,540,2.409,130.084,54.0
6,4.514,12,648,2.659,143.562,54.0
6,5.638,9,486,1.596,86.194,54.0
6,4.82,11,594,2.282,123.245,54.0
6,4.478,16,864,3.573,192.963,54.0
6,4.231,8,432,1.891,102.106,54.0
6,4.237,9,486,2.124,114.709,54.0
6,4.734,9,486,1.901,102.656,54.0
6,4.795,7,378,1.46,78.825,54.0
6,4.93,10,540,2.028,109.529,54.0
6,4.723,7,378,1.482,80.031,54.0
6,4.837,8,432,1.654,89.312,54.0
6,4.685,7,378,1.494,80.682,54.0
6,4.399,15,810,3.41,184.135,54.0
6,4.972,12,648,2.414,130.339,54.0
6,4.937,13,702,2.633,142.196,54.0
6,4.176,14,756,3.353,181.039,54.0
6,4.828,10,540,2.071,111.837,54.0
6,4.365,9,486,2.062,111.342,54.0
6,5.121,13,702,2.539,137.092,54.0
6,4.383,14,756,3.194,172.483,54.0
6,4.171,13,702,3.116,168.287,54.0
6,4.099,10,540,2.44,131.745,54.0
6,4.309,12,648,2.785,150.386,54.0
6,4.365,9,486,2.062,111.35,54.0
6,4.591,7,378,1.525,82.331,54.0
6,5.188,13,702,2.506,135.314,54.0
6,4.77,11,594,2.306,124.53,54.0
6,4.7,17,918,3.617,195.329,54.0
6,5.215,14,756,2.685,144.965,54.0
6,4.426,13,702,2.937,158.611,54.0
6,4.092,11,594,2.688,145.145,54.0
6,4.047,4,216,0.988,53.372,54.0
6,4.135,10,540,2.419,130.606,54.0
6,4.655,10,540,2.148,115.998,54.0
6,4.399,12,648,2.728,147.308,54.0
6,4.325,12,648,2.774,149.817,54.0
6,4.968,12,648,2.416,130.447,54.0
6,4.809,12,648,2.495,134.745,54.0
6,4.629,16,864,3.456,186.645,54.0
6,4.906,12,648,2.446,132.087,54.0
6,4.899,13,702,2.653,143.281,54.0
6,4.959,5,270,1.008,54.441,54.0
6,4.167,9,486,2.16,116.643,54.0
6,4.329,13,702,3.003,162.15,54.0
6,4.12,12,648,2.913,157.277,54.0
6,4.86,13,702,2.675,144.452,54.0
6,4.72,12,648,2.542,137.294,54.0
6,5.013,13,702,2.593,140.049,54.0
6,4.331,12,648,2.771,149.616,54.0
6,4.888,12,648,2.455,132.576,54.0
6,4.357,12,648,2.754,148.738,54.0
6,4.099,11,594,2.683,144.903,54.0
6,4.758,12,648,2.522,136.203,54.0
6,4.413,11,594,2.493,134.617,54.0
6,4.175,12,648,2.874,155.197,54.0
6,4.179,11,594,2.632,142.124,54.0
6,4.093,11,594,2.688,145.142,54.0
6,4.48,4,216,0.893,48.219,54.0
6,4.202,7,378,1.666,89.954,54.0
6,5.439,13,702,2.39,129.068,54.0
6,4.807,7,378,1.456,78.637,54.0
6,4.385,12,648,2.737,147.782,54.0
6,4.634,11,594,2.374,128.185,54.0
6,4.678,4,216,0.855,46.175,54.0
6,4.164,11,594,2.642,142.653,54.0
6,6.835,7,378,1.024,55.301,54.0
6,5.184,14,756,2.701,145.837,54.0
6,4.137,4,216,0.967,52.217,54.0
6,4.313,5,270,1.159,62.605,54.0
6,4.279,10,540,2.337,126.211,54.0
6,4.66,11,594,2.361,127.473,54.0
6,4.576,5,270,1.093,59.01,54.0
6,5.593,10,540,1.788,96.55,54.0
6,4.471,10,540,2.237,120.781,54.0
6,4.5,11,594,2.444,131.986,54.0
6,4.176,11,594,2.634,142.239,54.0
6,5.021,4,216,0.797,43.024,54.0
6,4.145,12,648,2.895,156.341,54.0
6,5.048,12,648,2.377,128.37,54.0
6,4.058,9,486,2.218,119.777,54.0
6,4.697,15,810,3.194,172.455,54.0
6,4.189,13,702,3.103,167.573,54.0
6,4.934,11,594,2.229,120.393,54.0
6,4.329,13,702,3.003,162.153,54.0
6,4.903,12,648,2.448,132.168,54.0
6,4.781,10,540,2.091,112.94,54.0
6,4.241,12,648,2.829,152.78,54.0
6,4.796,9,486,1.877,101.338,54.0
6,5.255,15,810,2.854,154.126,54.0
6,4.488,13,702,2.897,156.429,54.0
6,4.257,14,756,3.289,177.608,54.0
6,4.182,5,270,1.196,64.565,54.0
6,4.358,12,648,2.753,148.684,54.0
6,4.887,10,540,2.046,110.489,54.0
6,4.238,8,432,1.888,101.947,54.0
6,4.358,11,594,2.524,136.29,54.0
6,4.076,8,432,1.963,105.981,54.0
6,4.179,12,648,2.872,155.072,54.0
6,4.325,12,648,2.774,149.822,54.0
6,4.778,11,594,2.302,124.307,54.0
6,5.056,12,648,2.373,128.165,54.0
6,4.418,11,594,2.49,134.464,54.0
6,4.358,14,756,3.212,173.455,54.0
6,4.784,11,594,2.299,124.155,54.0
6,4.04,12,648,2.97,160.39,54.0
6,4.569,11,594,2.408,130.017,54.0
6,4.404,10,540,2.271,122.616,54.0
6,5.37,8,432,1.49,80.452,54.0
6,5.531,11,594,1.989,107.387,54.0
6,4.336,8,432,1.845,99.636,54.0
6,5.385,6,324,1.114,60.167,54.0
6,4.387,10,540,2.279,123.079,54.0
6,4.93,12,648,2.434,131.434,54.0
6,4.272,13,702,3.043,164.319,54.0
6,4.855,12,648,2.472,133.475,54.0
6,4.794,6,324,1.252,67.585,54.0
6,4.303,14,756,3.254,175.691,54.0
6,4.478,15,810,3.35,180.902,54.0
6,4.595,8,432,1.741,94.025,54.0
6,4.825,8,432,1.658,89.538,54.0
6,4.853,14,756,2.885,155.788,54.0
6,4.831,8,432,1.656,89.43,54.0
6,5.04,9,486,1.786,96.429,54.0
6,4.349,7,378,1.61,86.923,54.0
6,4.214,11,594,2.61,140.943,54.0
6,4.397,12,648,2.729,147.357,54.0
6,4.677,7,378,1.497,80.826,54.0
6,4.941,17,918,3.44,185.775,54.0
6,4.663,5,270,1.072,57.904,54.0
6,4.534,11,594,2.426,131.017,54.0
6,4.426,14,756,3.163,170.811,54.0
6,4.647,13,702,2.797,151.056,54.0
6,4.349,8,432,1.839,99.33,54.0
6,4.18,13,702,3.11,167.926,54.0
6,5.291,11,594,2.079,112.262,54.0
6,4.737,10,540,2.111,113.997,54.0
6,4.315,9,486,2.086,112.643,54.0
6,4.052,9,486,2.221,119.942,54.0
6,10.703,2,120,0.187,11.211,60.0
6,4.277,13,702,3.04,164.14,54.0
6,4.103,13,702,3.168,171.09,54.0
6,4.96,15,810,3.024,163.307,54.0
6,8.01,9,486,1.124,60.673,54.0
6,4.631,9,486,1.943,104.945,54.0
6,4.699,15,810,3.192,172.364,54.0
6,4.763,11,594,2.31,124.716,54.0
6,5.532,13,702,2.35,126.903,54.0
6,4.648,13,702,2.797,151.019,54.0
6,4.03,11,594,2.729,147.39,54.0
6,4.163,11,594,2.642,142.677,54.0
6,5.278,12,648,2.274,122.779,54.0
6,5.639,8,432,1.419,76.603,54.0
6,4.138,7,378,1.692,91.356,54.0
6,4.639,16,864,3.449,186.264,54.0
6,4.061,10,540,2.462,132.961,54.0
6,4.82,12,648,2.49,134.437,54.0
6,4.126,11,594,2.666,143.951,54.0
6,4.966,9,486,1.812,97.875,54.0
6,4.189,13,702,3.103,167.574,54.0
6,5.013,11,594,2.194,118.502,54.0
6,4.492,14,756,3.116,168.285,54.0
6,4.146,13,702,3.135,169.302,54.0
6,4.317,7,378,1.622,87.57,54.0
6,6.546,7,378,1.069,57.746,54.0
6,4.915,13,702,2.645,142.833,54.0
6,4.48,10,540,2.232,120.53,54.0
6,4.698,18,972,3.832,206.906,54.0
6,4.507,9,486,1.997,107.831,54.0
6,4.706,13,702,2.762,149.173,54.0
6,4.306,9,486,2.09,112.857,54.0
6,4.887,7,378,1.432,77.352,54.0
6,4.41,12,648,2.721,146.947,54.0
6,4.634,12,648,2.59,139.836,54.0
6,4.186,7,378,1.672,90.307,54.0
6,5.542,9,486,1.624,87.699,54.0
6,4.264,8,432,1.876,101.325,54.0
6,4.428,9,486,2.032,109.745,54.0
6,4.47,9,486,2.013,108.713,54.0
6,4.207,14,756,3.328,179.686,54.0
6,4.315,10,540,2.318,125.152,54.0
6,4.282,3,162,0.701,37.832,54.0
6,4.86,7,378,1.44,77.781,54.0
6,4.365,9,486,2.062,111.346,54.0
6,4.894,6,324,1.226,66.207,54.0
6,4.329,15,810,3.465,187.096,54.0
6,4.033,3,162,0.744,40.169,54.0
6,4.219,10,540,2.37,127.978,54.0
6,4.365,9,486,2.062,111.342,54.0
6,4.432,14,756,3.159,170.571,54.0
6,4.388,15,810,3.419,184.611,54.0
6,4.699,18,972,3.831,206.85,54.0
6,4.272,9,486,2.107,113.759,54.0
6,5.011,14,756,2.794,150.876,54.0
6,4.389,11,594,2.506,135.33,54.0
6,4.717,11,594,2.332,125.928,54.0
6,4.384,13,702,2.965,160.11,54.0
6,4.215,10,540,2.372,128.114,54.0
6,4.173,10,540,2.396,129.399,54.0
6,4.197,9,486,2.145,115.81,54.0
